sentence,compound,positive,negative,neutral,label,title
"One of my companions touched my arm as we swept round the base of a hill and opened up the lofty, snow-covered peak of a mountain, which seemed, as we wound on our serpentine way, to be right before us:-- ""Look!",0.0,0.0,0.0,1.0,neutral,Dracula
"Isten szek!""",0.0,0.0,0.0,1.0,neutral,Dracula
"--""God's seat!""",0.0,0.0,0.0,1.0,neutral,Dracula
--and he crossed himself reverently.,0.0,0.0,0.0,1.0,neutral,Dracula
"As we wound on our endless way, and the sun sank lower and lower behind us, the shadows of the evening began to creep round us.",-0.5267,0.0,0.155,0.845,negative,Dracula
"This was emphasised by the fact that the snowy mountain-top still held the sunset, and seemed to glow out with a delicate cool pink.",0.3612,0.143,0.0,0.857,positive,Dracula
"Here and there we passed Cszeks and Slovaks, all in picturesque attire, but I noticed that goitre was painfully prevalent.",-0.5859,0.077,0.197,0.726,negative,Dracula
"By the roadside were many crosses, and as we swept by, my companions all crossed themselves.",0.0,0.0,0.0,1.0,neutral,Dracula
"Here and there was a peasant man or woman kneeling before a shrine, who did not even turn round as we approached, but seemed in the self-surrender of devotion to have neither eyes nor ears for the outer world.",0.6124,0.1,0.0,0.9,positive,Dracula
"There were many things new to me: for instance, hay-ricks in the trees, and here and there very beautiful masses of weeping birch, their white stems shining like silver through the delicate green of the leaves.",0.6115,0.184,0.068,0.748,positive,Dracula
"Now and again we passed a leiter-wagon--the ordinary peasant's cart--with its long, snake-like vertebra, calculated to suit the inequalities of the road.",0.0,0.0,0.0,1.0,neutral,Dracula
"On this were sure to be seated quite a group of home-coming peasants, the Cszeks with their white, and the Slovaks with their coloured, sheepskins, the latter carrying lance-fashion their long staves, with axe at end.",0.2263,0.063,0.038,0.899,positive,Dracula
"As the evening fell it began to get very cold, and the growing twilight seemed to merge into one dark mistiness the gloom of the trees, oak, beech, and pine, though in the valleys which ran deep between the spurs of the hills, as we ascended through the Pass, the dark firs stood out here and there against the background of late-lying snow.",-0.4404,0.026,0.054,0.92,negative,Dracula
"Sometimes, as the road was cut through the pine woods that seemed in the darkness to be closing down upon us, great masses of greyness, which here and there bestrewed the trees, produced a peculiarly weird and solemn effect, which carried on the thoughts and grim fancies engendered earlier in the evening, when the falling sunset threw into strange relief the ghost-like clouds which amongst the Carpathians seem to wind ceaselessly through the valleys.",-0.5267,0.084,0.182,0.734,negative,Dracula
"Sometimes the hills were so steep that, despite our driver's haste, the horses could only go slowly.",0.0,0.0,0.0,1.0,neutral,Dracula
"I wished to get down and walk up them, as we do at home, but the driver would not hear of it.",0.0,0.0,0.0,1.0,neutral,Dracula
