sentence,compound,positive,negative,neutral,label,title
The old woman was outside her door cutting up the bread for her soup.,-0.128,0.0,0.103,0.897,negative,Original Short Stories — Volume 13
"He went up to her and put his face close to hers, so that he might smell her breath; and when he smelt the alcohol he felt pleased.",0.4404,0.097,0.0,0.903,positive,Original Short Stories — Volume 13
"""I suppose you will give me a glass of the Special?""",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
he said.,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
And they had three glasses each.,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"Soon, however, it began to be whispered abroad that Mother Magloire was in the habit of getting drunk all by herself.",-0.34,0.0,0.107,0.893,negative,Original Short Stories — Volume 13
"She was picked up in her kitchen, then in her yard, then in the roads in the neighborhood, and she was often brought home like a log.",0.3612,0.091,0.0,0.909,positive,Original Short Stories — Volume 13
"The innkeeper did not go near her any more, and, when people spoke to him about her, he used to say, putting on a distressed look: ""It is a great pity that she should have taken to drink at her age, but when people get old there is no remedy.",-0.4118,0.048,0.119,0.833,negative,Original Short Stories — Volume 13
"It will be the death of her in the long run.""",-0.5994,0.0,0.281,0.719,negative,Original Short Stories — Volume 13
And it certainly was the death of her.,-0.3612,0.195,0.317,0.488,negative,Original Short Stories — Volume 13
She died the next winter.,-0.5574,0.0,0.474,0.526,negative,Original Short Stories — Volume 13
"About Christmas time she fell down, unconscious, in the snow, and was found dead the next morning.",-0.6486,0.0,0.212,0.788,negative,Original Short Stories — Volume 13
"And when Chicot came in for the farm, he said: ""It was very stupid of her; if she had not taken to drink she would probably have lived ten years longer.""",-0.5709,0.0,0.11,0.89,negative,Original Short Stories — Volume 13
BOITELLE Father Boitelle (Antoine) made a specialty of undertaking dirty jobs all through the countryside.,-0.4404,0.0,0.182,0.818,negative,Original Short Stories — Volume 13
"Whenever there was a ditch or a cesspool to be cleaned out, a dunghill removed, a sewer cleansed, or any dirt hole whatever, he was always employed to do it.",-0.34,0.0,0.088,0.912,negative,Original Short Stories — Volume 13
"He would come with the instruments of his trade, his sabots covered with dirt, and set to work, complaining incessantly about his occupation.",-0.4939,0.0,0.167,0.833,negative,Original Short Stories — Volume 13
"When people asked him then why he did this loathsome work, he would reply resignedly: ""Faith, 'tis for my children, whom I must support.",0.25,0.106,0.067,0.827,positive,Original Short Stories — Volume 13
"This brings me in more than anything else.""",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"He had, indeed, fourteen children.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"If any one asked him what had become of them, he would say with an air of indifference: ""There are only eight of them left in the house.",-0.0516,0.0,0.043,0.957,negative,Original Short Stories — Volume 13
"One is out at service and five are married.""",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"When the questioner wanted to know whether they were well married, he replied vivaciously: ""I did not oppose them.",0.2732,0.104,0.0,0.896,positive,Original Short Stories — Volume 13
I opposed them in nothing.,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
They married just as they pleased.,0.4404,0.367,0.0,0.633,positive,Original Short Stories — Volume 13
"We shouldn't go against people's likings, it turns out badly.",-0.4767,0.0,0.256,0.744,negative,Original Short Stories — Volume 13
I am a night scavenger because my parents went against my likings.,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"But for that I would have become a workman like the others.""",0.5023,0.265,0.0,0.735,positive,Original Short Stories — Volume 13
"Here is the way his parents had thwarted him in his likings: He was at the time a soldier stationed at Havre, not more stupid than another, or sharper either, a rather simple fellow, however.",0.4391,0.085,0.031,0.883,positive,Original Short Stories — Volume 13
"When he was not on duty, his greatest pleasure was to walk along the quay, where the bird dealers congregate.",0.836,0.305,0.0,0.695,positive,Original Short Stories — Volume 13
