sentence,compound,positive,negative,neutral,label,title
"All these things are carefully avoided by the young, most of whom have learned to speak English and to affect the latest style of clothing.",-0.2263,0.056,0.089,0.855,negative,The Jungle
"The girls wear ready-made dresses or shirt waists, and some of them look quite pretty.",0.5413,0.2,0.0,0.8,positive,The Jungle
"Some of the young men you would take to be Americans, of the type of clerks, but for the fact that they wear their hats in the room.",0.0,0.0,0.0,1.0,neutral,The Jungle
Each of these younger couples affects a style of its own in dancing.,0.0,0.0,0.0,1.0,neutral,The Jungle
"Some hold each other tightly, some at a cautious distance.",-0.1027,0.0,0.149,0.851,negative,The Jungle
"Some hold their hands out stiffly, some drop them loosely at their sides.",-0.2732,0.0,0.149,0.851,negative,The Jungle
"Some dance springily, some glide softly, some move with grave dignity.",0.0258,0.189,0.182,0.629,neutral,The Jungle
"There are boisterous couples, who tear wildly about the room, knocking every one out of their way.",0.0,0.0,0.0,1.0,neutral,The Jungle
"There are nervous couples, whom these frighten, and who cry, ""Nusfok!",-0.784,0.0,0.497,0.503,negative,The Jungle
"Kas yra?""",0.0,0.0,0.0,1.0,neutral,The Jungle
at them as they pass.,0.0,0.0,0.0,1.0,neutral,The Jungle
Each couple is paired for the evening--you will never see them change about.,0.0,0.0,0.0,1.0,neutral,The Jungle
"There is Alena Jasaityte, for instance, who has danced unending hours with Juozas Raczius, to whom she is engaged.",0.4019,0.13,0.0,0.87,positive,The Jungle
"Alena is the beauty of the evening, and she would be really beautiful if she were not so proud.",0.6984,0.294,0.118,0.588,positive,The Jungle
"She wears a white shirtwaist, which represents, perhaps, half a week's labor painting cans.",0.0,0.0,0.0,1.0,neutral,The Jungle
"She holds her skirt with her hand as she dances, with stately precision, after the manner of the grandes dames .",0.4939,0.144,0.0,0.856,positive,The Jungle
"Juozas is driving one of Durham's wagons, and is making big wages.",0.0,0.0,0.0,1.0,neutral,The Jungle
"He affects a ""tough"" aspect, wearing his hat on one side and keeping a cigarette in his mouth all the evening.",0.0,0.0,0.0,1.0,neutral,The Jungle
"Then there is Jadvyga Marcinkus, who is also beautiful, but humble.",0.3506,0.197,0.0,0.803,positive,The Jungle
"Jadvyga likewise paints cans, but then she has an invalid mother and three little sisters to support by it, and so she does not spend her wages for shirtwaists.",0.4861,0.101,0.0,0.899,positive,The Jungle
"Jadvyga is small and delicate, with jet-black eyes and hair, the latter twisted into a little knot and tied on the top of her head.",0.25,0.12,0.0,0.88,positive,The Jungle
"She wears an old white dress which she has made herself and worn to parties for the past five years; it is high-waisted--almost under her arms, and not very becoming,--but that does not trouble Jadvyga, who is dancing with her Mikolas.",0.4133,0.11,0.049,0.841,positive,The Jungle
"She is small, while he is big and powerful; she nestles in his arms as if she would hide herself from view, and leans her head upon his shoulder.",0.2732,0.089,0.054,0.857,positive,The Jungle
"He in turn has clasped his arms tightly around her, as if he would carry her away; and so she dances, and will dance the entire evening, and would dance forever, in ecstasy of bliss.",0.8225,0.187,0.0,0.813,positive,The Jungle
"You would smile, perhaps, to see them--but you would not smile if you knew all the story.",0.6124,0.25,0.0,0.75,positive,The Jungle
"This is the fifth year, now, that Jadvyga has been engaged to Mikolas, and her heart is sick.",-0.1531,0.123,0.15,0.727,negative,The Jungle
"They would have been married in the beginning, only Mikolas has a father who is drunk all day, and he is the only other man in a large family.",-0.34,0.0,0.085,0.915,negative,The Jungle
Even so they might have managed it (for Mikolas is a skilled man) but for cruel accidents which have almost taken the heart out of them.,-0.8462,0.0,0.262,0.738,negative,The Jungle
"He is a beef-boner, and that is a dangerous trade, especially when you are on piecework and trying to earn a bride.",-0.4767,0.0,0.147,0.853,negative,The Jungle
"Your hands are slippery, and your knife is slippery, and you are toiling like mad, when somebody happens to speak to you, or you strike a bone.",-0.296,0.083,0.156,0.762,negative,The Jungle
"Then your hand slips up on the blade, and there is a fearful gash.",0.0,0.184,0.184,0.632,neutral,The Jungle
"And that would not be so bad, only for the deadly contagion.",-0.8172,0.0,0.428,0.572,negative,The Jungle
"The cut may heal, but you never can tell.",-0.1406,0.0,0.162,0.838,negative,The Jungle
"Twice now; within the last three years, Mikolas has been lying at home with blood poisoning--once for three months and once for nearly seven.",-0.5267,0.0,0.129,0.871,negative,The Jungle
