sentence,compound,positive,negative,neutral,label,title
LV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE SPIRIT OF GRAVITY.,0.1779,0.362,0.0,0.638,positive,Thus Spake Zarathustra: A Book for All and None
LVI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
OLD AND NEW TABLES.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LVII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE CONVALESCENT.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LVIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE GREAT LONGING.,0.6124,0.661,0.177,0.161,positive,Thus Spake Zarathustra: A Book for All and None
LIX.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE SECOND DANCE-SONG.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LX.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE SEVEN SEALS.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
FOURTH AND LAST PART.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LXI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE HONEY SACRIFICE.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LXII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE CRY OF DISTRESS.,-0.7579,0.0,0.765,0.235,negative,Thus Spake Zarathustra: A Book for All and None
LXIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
TALK WITH THE KINGS.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LXIV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE LEECH.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LXV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE MAGICIAN.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LXVI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
OUT OF SERVICE.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LXVII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE UGLIEST MAN.,-0.5859,0.0,0.655,0.345,negative,Thus Spake Zarathustra: A Book for All and None
LXVIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE VOLUNTARY BEGGAR.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LXIX.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
