title,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
Original Short Stories — Volume 13,6.548782e-06,6.660239e-06,1.0438776e-05,0.09134287,0.011486173,8.030411e-06,1.1307963e-05,1.8612474e-05,0.33839262,0.33524722,0.2135424,7.645141e-06,6.4823325e-06,0.009864564,9.358531e-06,6.0531897e-06,7.693331e-06,9.509785e-06,5.5814708e-06,1.01957e-05
Herland,4.6953865e-06,4.775299e-06,7.484459e-06,8.562125e-06,0.04230976,5.7576935e-06,0.004624283,0.074856274,0.64540887,0.14316642,0.05333546,5.4814604e-06,4.647743e-06,0.024059013,6.7099377e-06,4.3400532e-06,5.516012e-06,0.012170656,4.0018376e-06,7.310176e-06
Minna,0.99996614,9.644202e-07,1.5115623e-06,1.729208e-06,2.1505928e-06,1.1628247e-06,1.6374229e-06,2.69458e-06,4.7565645e-06,4.2269453e-06,2.1719893e-06,1.1070365e-06,9.3865884e-07,1.7765251e-06,1.35514e-06,8.765178e-07,1.1140146e-06,1.3770419e-06,8.0821167e-07,1.4763642e-06
Dracula,1.6751187e-06,1.7036283e-06,2.670201e-06,3.0546103e-06,0.0018004127,2.0541058e-06,2.8924737e-06,4.75992e-06,0.01712916,0.29347804,3.8367743e-06,1.9555573e-06,1.6581215e-06,0.68591356,2.393827e-06,1.5483506e-06,0.001642178,2.432516e-06,1.4276893e-06,2.607967e-06
The Time Machine,5.773887e-06,5.8721553e-06,9.203592e-06,1.0528791e-05,1.3094515e-05,7.0802e-06,9.96993e-06,0.039560076,0.14185205,0.7973993,1.3224794e-05,6.740517e-06,5.7153e-06,1.0816895e-05,8.251168e-06,5.3369363e-06,6.783005e-06,8.384524e-06,4.9210344e-06,0.021056911
The Enchanted Castle,3.268691e-06,3.3243223e-06,0.0060817883,0.60951656,0.0084891515,4.008216e-06,0.00861995,9.288123e-06,1.6396265e-05,0.36721146,7.4867703e-06,3.815916e-06,3.235524e-06,6.1236196e-06,4.6711198e-06,3.021326e-06,3.839969e-06,4.746615e-06,2.7858773e-06,5.0889753e-06
The war of the worlds,2.8199272e-06,2.867921e-06,4.4949716e-06,5.14219e-06,6.3952725e-06,3.4579216e-06,4.8692464e-06,0.04412752,1.4145513e-05,0.93016756,6.4589e-06,3.2920227e-06,2.7913138e-06,5.282898e-06,4.0298146e-06,2.6065234e-06,3.3127737e-06,4.094945e-06,2.4033998e-06,0.025626447
The Ragged Trousered Philanthropists,1.0644095e-06,1.0825253e-06,0.9999626,1.9409706e-06,2.4139592e-06,1.3052269e-06,1.8379454e-06,3.0245644e-06,5.3393005e-06,4.744638e-06,2.437976e-06,1.2426067e-06,1.0536091e-06,1.9940824e-06,1.5210935e-06,9.838582e-07,1.2504394e-06,1.5456776e-06,9.0718714e-07,1.6571631e-06
"Prophets of Dissent : Essays on Maeterlinck, Strindberg, Nietzsche and Tolstoy",2.488228e-06,2.5305762e-06,3.9662423e-06,4.5373304e-06,5.6430167e-06,0.006386405,4.296492e-06,7.070404e-06,0.9879766,1.1091309e-05,5.69916e-06,2.9047924e-06,2.4629803e-06,4.6614873e-06,0.005564796,2.299926e-06,2.9231026e-06,3.6132692e-06,2.1206954e-06,3.8738845e-06
"Prophets of Dissent : Essays on Maeterlinck, Strindberg, Nietzsche and Tolstoy",2.4936721e-06,2.536113e-06,3.97492e-06,4.5472575e-06,5.655363e-06,0.0064027756,4.3058926e-06,7.0858737e-06,0.9879407,1.1115577e-05,5.7116295e-06,2.911148e-06,2.4683693e-06,4.6716864e-06,0.005584164,2.3049583e-06,2.9294981e-06,3.6211748e-06,2.1253354e-06,3.8823605e-06
